1	وزان جایگه نالهٔ گاودم	1.8546630115190605e-12	2.3914809544999387e-16	2.6327947487494125e-16	1
1	شنیدند و آواز رویینه خم	6.05492590178721e-18	1.7943840061154015e-18	6.397729469753301e-18	3
1	جهاندار بیدار لشکر براند	5.073087815893978e-13	1.37421141868938e-14	1.0290870297487583e-14	1
1	به شام آمد و روزگاری بماند	6.627976993074219e-21	1.8541373494317257e-21	1.8457926888804554e-21	1
1	بیاورد چندان سلیح و سپاه	1.5840745323839955e-15	1.7733020461943343e-17	2.1441565106814492e-17	1
1	همان برده و بدره و تاج و گاه	2.2728319923262627e-21	5.0877293447759854e-26	6.659196046525233e-26	1
1	که پشت زمی را همی‌داد خم	1.8108151906081427e-20	2.567825271211688e-20	8.017849226706263e-21	2
1	ز پیلان وز گنجهای درم	1.9252400567228525e-16	7.359746702202334e-17	5.636655181507848e-17	1
1	ازان مرز چون رفتن آمدش رای	3.169584452008942e-22	2.3795809418747354e-22	2.6327942308509543e-22	1
1	به شیروی بهرام بسپرد جای	7.593009866509387e-17	2.806611371014954e-19	2.632803376386342e-19	1
1	بدو گفت کاین باژ قیصر بخواه	1.2920727628240856e-19	2.5521932118436865e-22	3.0968226002929394e-21	1
1	مکن هیچ سستی به روز و به ماه	1.1437179200773408e-23	5.408151717255507e-24	4.1104367323252514e-25	1
1	ببوسید شیروی روی زمین	2.3908467905695275e-13	1.4579728289502994e-13	7.592002950542727e-14	1
1	همی‌خواند بر شهریار آفرین	2.5143420671712483e-14	2.9521790253664607e-16	2.249075667318668e-16	1
1	که بیدار دل باش و پیروزبخت	4.4891977815518896e-20	2.034552313785298e-18	1.3964898378136178e-19	2
1	مگر داد زرد این کیانی درخت	3.119513208230138e-22	2.4096266167637734e-22	2.632794827567071e-22	1
1	تبیره برآمد ز درگاه شاه	8.547592147500191e-15	1.1509584080778653e-18	1.9966609365810659e-19	1
1	سوی اردن آمد درفش سپاه	3.140041330776366e-18	2.3834155823135753e-18	2.691434684012882e-18	1
1	جهاندار کسری چو خورشید بود	2.6806516911262967e-13	6.003845448307922e-19	1.1419886386852675e-19	1
1	جهان را ازو بیم و امید بود	1.1794733763020162e-22	4.521773726896189e-24	1.5273810752355305e-23	1
1	برین سان رود آفتاب سپهر	1.2363399157967922e-17	9.477169836461519e-19	4.0263492180297513e-19	1
1	به یک دست شمشیر و یک دست مهر	6.57391628093363e-26	1.0897128931712639e-26	2.2042423977019573e-27	1
1	نه بخشایش آرد به هنگام خشم	1.4746617796844545e-19	5.390275348757182e-21	4.263988153548699e-21	1
1	نه خشم آیدش روز بخشش به چشم	3.2027725319965304e-26	2.17936464941058e-24	5.839954686861249e-25	2
1	چنین‌بود آن شاه خسرونژاد	5.403870154366918e-13	7.204814300687115e-13	1.38452306591967e-12	3
1	بیاراسته بد جهان را بداد	2.3735039702198624e-17	1.2916664145147685e-17	9.139306517872893e-16	3
1	شنیدم کجا کسری شهریار	3.0726610207518655e-14	2.37957920435772e-14	2.632794230817804e-14	1
1	به هرمز یکی نامه کرد استوار	3.128217857045443e-20	2.1823171919959517e-22	3.347558699554769e-22	1
1	ز شاه جهاندار خورشید دهر	3.190460124484171e-14	2.1220284708695947e-17	1.5902862151072736e-17	1
